,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
97,-0.5859,Fri Mar 23 10:30:10 +0000 2018,0.676,0.324,0.0,2,@BBCWorld
98,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,1,@BBCWorld
99,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.769,0.231,0.0,0,@BBCWorld
100,0.6908,Fri Mar 23 10:30:10 +0000 2018,0.481,0.107,0.412,99,@CBSNews
101,-0.4767,Fri Mar 23 10:30:10 +0000 2018,0.763,0.237,0.0,98,@CBSNews
102,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,97,@CBSNews
103,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,96,@CBSNews
104,0.34,Fri Mar 23 10:30:10 +0000 2018,0.882,0.0,0.118,95,@CBSNews
105,-0.7906,Fri Mar 23 10:30:10 +0000 2018,0.588,0.412,0.0,94,@CBSNews
106,0.4215,Fri Mar 23 10:30:10 +0000 2018,0.823,0.0,0.177,93,@CBSNews
107,-0.3818,Fri Mar 23 10:30:10 +0000 2018,0.676,0.198,0.126,92,@CBSNews
108,0.296,Fri Mar 23 10:30:10 +0000 2018,0.855,0.0,0.145,91,@CBSNews
109,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.856,0.0,0.144,90,@CBSNews
110,-0.4404,Fri Mar 23 10:30:10 +0000 2018,0.828,0.172,0.0,89,@CBSNews
111,-0.7003,Fri Mar 23 10:30:10 +0000 2018,0.691,0.309,0.0,88,@CBSNews
112,-0.4767,Fri Mar 23 10:30:10 +0000 2018,0.795,0.205,0.0,87,@CBSNews
113,-0.8658,Fri Mar 23 10:30:10 +0000 2018,0.507,0.493,0.0,86,@CBSNews
114,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.795,0.205,0.0,85,@CBSNews
115,-0.6908,Fri Mar 23 10:30:10 +0000 2018,0.749,0.251,0.0,84,@CBSNews
116,0.0772,Fri Mar 23 10:30:10 +0000 2018,0.902,0.0,0.098,83,@CBSNews
117,0.4215,Fri Mar 23 10:30:10 +0000 2018,0.859,0.0,0.141,82,@CBSNews
118,0.3182,Fri Mar 23 10:30:10 +0000 2018,0.777,0.078,0.145,81,@CBSNews
119,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,80,@CBSNews
120,-0.6908,Fri Mar 23 10:30:10 +0000 2018,0.737,0.263,0.0,79,@CBSNews
121,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,78,@CBSNews
122,-0.2263,Fri Mar 23 10:30:10 +0000 2018,0.905,0.095,0.0,77,@CBSNews
123,-0.1655,Fri Mar 23 10:30:10 +0000 2018,0.924,0.076,0.0,76,@CBSNews
124,-0.2732,Fri Mar 23 10:30:10 +0000 2018,0.751,0.146,0.103,75,@CBSNews
125,-0.4767,Fri Mar 23 10:30:10 +0000 2018,0.612,0.257,0.131,74,@CBSNews
126,-0.2263,Fri Mar 23 10:30:10 +0000 2018,0.905,0.095,0.0,73,@CBSNews
127,0.4404,Fri Mar 23 10:30:10 +0000 2018,0.664,0.108,0.228,72,@CBSNews
128,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,71,@CBSNews
129,0.128,Fri Mar 23 10:30:10 +0000 2018,0.688,0.126,0.186,70,@CBSNews
130,-0.8658,Fri Mar 23 10:30:10 +0000 2018,0.697,0.303,0.0,69,@CBSNews
131,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,68,@CBSNews
132,-0.1531,Fri Mar 23 10:30:10 +0000 2018,0.781,0.121,0.098,67,@CBSNews
133,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,66,@CBSNews
134,0.3182,Fri Mar 23 10:30:10 +0000 2018,0.897,0.0,0.103,65,@CBSNews
135,-0.4939,Fri Mar 23 10:30:10 +0000 2018,0.802,0.198,0.0,64,@CBSNews
136,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,63,@CBSNews
137,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,62,@CBSNews
138,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.888,0.112,0.0,61,@CBSNews
139,0.4215,Fri Mar 23 10:30:10 +0000 2018,0.708,0.084,0.208,60,@CBSNews
140,0.4404,Fri Mar 23 10:30:10 +0000 2018,0.888,0.0,0.112,59,@CBSNews
141,-0.0516,Fri Mar 23 10:30:10 +0000 2018,0.696,0.157,0.148,58,@CBSNews
142,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,57,@CBSNews
143,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,56,@CBSNews
144,-0.7964,Fri Mar 23 10:30:10 +0000 2018,0.728,0.272,0.0,55,@CBSNews
145,-0.3919,Fri Mar 23 10:30:10 +0000 2018,0.71,0.178,0.112,54,@CBSNews
146,-0.8271,Fri Mar 23 10:30:10 +0000 2018,0.686,0.314,0.0,53,@CBSNews
147,0.3182,Fri Mar 23 10:30:10 +0000 2018,0.887,0.0,0.113,52,@CBSNews
148,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,51,@CBSNews
